Date (UTC),Type,From account / from category,From subcategory,To account / to category,To subcategory,Amount 1,Currency 1,Amount 2,Currency 2,Commission,Commission currency,Tax,Tax currency,Comment
2025-01-14T17:00:00.000Z,Expense,Primary Account,,Health,,150027,IDR,150027,IDR,,,,,Checkup
2025-01-15T17:00:00.000Z,Expense,Primary Account,,Others,,42962,IDR,42962,IDR,,,,,Misc
2025-01-15T17:00:00.000Z,Expense,Primary Account,,Transport,,138880,IDR,138880,IDR,,,,,Grab
2025-01-16T17:00:00.000Z,Expense,Primary Account,,Entertainment,,17549,IDR,17549,IDR,,,,,Movie
2025-01-16T17:00:00.000Z,Expense,Primary Account,,Groceries,,44364,IDR,44364,IDR,,,,,Indomaret
2025-01-16T17:00:00.000Z,Expense,Primary Account,,Personal Care,,115193,IDR,115193,IDR,,,,,Shampoo
2025-01-16T17:00:00.000Z,Expense,Primary Account,,Groceries,,120516,IDR,120516,IDR,,,,,Supermarket
2025-01-17T17:00:00.000Z,Expense,Primary Account,,Food,,196480,IDR,196480,IDR,,,,,Coffee
2025-01-19T17:00:00.000Z,Expense,Primary Account,,Health,,66153,IDR,66153,IDR,,,,,Vitamins
2025-01-20T17:00:00.000Z,Expense,Primary Account,,Health,,94551,IDR,94551,IDR,,,,,Medicine
2025-01-22T17:00:00.000Z,Expense,Primary Account,,Transport,,49890,IDR,49890,IDR,,,,,Grab
2025-01-22T17:00:00.000Z,Expense,Primary Account,,Health,,79339,IDR,79339,IDR,,,,,Medicine
2025-01-23T17:00:00.000Z,Expense,Primary Account,,Bills,,113042,IDR,113042,IDR,,,,,Electricity
2025-01-23T17:00:00.000Z,Expense,Primary Account,,Entertainment,,79169,IDR,79169,IDR,,,,,Movie
2025-01-23T17:00:00.000Z,Expense,Primary Account,,Entertainment,,66727,IDR,66727,IDR,,,,,Spotify
2025-01-23T17:00:00.000Z,Expense,Primary Account,,Groceries,,179638,IDR,179638,IDR,,,,,Supermarket
2025-01-24T17:00:00.000Z,Expense,Primary Account,,Transport,,110042,IDR,110042,IDR,,,,,Fuel
2025-01-26T17:00:00.000Z,Expense,Primary Account,,Food,,33613,IDR,33613,IDR,,,,,Jajanan
2025-01-26T17:00:00.000Z,Expense,Primary Account,,Entertainment,,181538,IDR,181538,IDR,,,,,Netflix
2025-01-27T17:00:00.000Z,Expense,Primary Account,,Others,,108531,IDR,108531,IDR,,,,,Misc
2025-01-28T17:00:00.000Z,Expense,Primary Account,,Others,,17244,IDR,17244,IDR,,,,,Misc
2025-01-28T17:00:00.000Z,Expense,Primary Account,,Entertainment,,74102,IDR,74102,IDR,,,,,Netflix
2025-01-30T17:00:00.000Z,Expense,Primary Account,,Transport,,108203,IDR,108203,IDR,,,,,Busway
2025-01-30T17:00:00.000Z,Expense,Primary Account,,Groceries,,24076,IDR,24076,IDR,,,,,Supermarket
2025-02-01T17:00:00.000Z,Expense,Primary Account,,Food,,8854,IDR,8854,IDR,,,,,Lunch
2025-02-01T17:00:00.000Z,Income,Company Payroll,,Primary Account,,7000000,IDR,7000000,IDR,,,,,Monthly Salary
2025-02-02T17:00:00.000Z,Expense,Primary Account,,Personal Care,,177196,IDR,177196,IDR,,,,,Skincare
2025-02-02T17:00:00.000Z,Expense,Primary Account,,Bills,,64116,IDR,64116,IDR,,,,,Internet
2025-02-03T17:00:00.000Z,Expense,Primary Account,,Others,,7264,IDR,7264,IDR,,,,,Misc
2025-02-05T17:00:00.000Z,Expense,Primary Account,,Groceries,,93321,IDR,93321,IDR,,,,,Indomaret
2025-02-06T17:00:00.000Z,Expense,Primary Account,,Personal Care,,170985,IDR,170985,IDR,,,,,Soap
2025-02-08T17:00:00.000Z,Expense,Primary Account,,Entertainment,,85404,IDR,85404,IDR,,,,,Game top-up
2025-02-08T17:00:00.000Z,Expense,Primary Account,,Entertainment,,80551,IDR,80551,IDR,,,,,Movie
2025-02-08T17:00:00.000Z,Expense,Primary Account,,Food,,142359,IDR,142359,IDR,,,,,Coffee
2025-02-09T17:00:00.000Z,Expense,Primary Account,,Bills,,46896,IDR,46896,IDR,,,,,Water
2025-02-10T17:00:00.000Z,Expense,Primary Account,,Entertainment,,149875,IDR,149875,IDR,,,,,Game top-up
2025-02-10T17:00:00.000Z,Expense,Primary Account,,Personal Care,,107475,IDR,107475,IDR,,,,,Soap
2025-02-11T17:00:00.000Z,Expense,Primary Account,,Entertainment,,117817,IDR,117817,IDR,,,,,Game top-up
2025-02-14T17:00:00.000Z,Expense,Primary Account,,Bills,,178194,IDR,178194,IDR,,,,,Water
2025-02-15T17:00:00.000Z,Expense,Primary Account,,Transport,,25705,IDR,25705,IDR,,,,,Fuel
2025-02-16T17:00:00.000Z,Expense,Primary Account,,Groceries,,193684,IDR,193684,IDR,,,,,Alfamart
2025-02-16T17:00:00.000Z,Expense,Primary Account,,Groceries,,122834,IDR,122834,IDR,,,,,Supermarket
2025-02-17T17:00:00.000Z,Expense,Primary Account,,Transport,,93868,IDR,93868,IDR,,,,,Busway
2025-02-18T17:00:00.000Z,Expense,Primary Account,,Personal Care,,57868,IDR,57868,IDR,,,,,Soap
2025-02-18T17:00:00.000Z,Expense,Primary Account,,Entertainment,,153964,IDR,153964,IDR,,,,,Game top-up
2025-02-19T17:00:00.000Z,Expense,Primary Account,,Entertainment,,24197,IDR,24197,IDR,,,,,Movie
2025-02-19T17:00:00.000Z,Expense,Primary Account,,Transport,,166931,IDR,166931,IDR,,,,,Gojek
2025-02-20T17:00:00.000Z,Expense,Primary Account,,Others,,81706,IDR,81706,IDR,,,,,Misc
2025-02-21T17:00:00.000Z,Expense,Primary Account,,Entertainment,,120402,IDR,120402,IDR,,,,,Netflix
2025-02-24T17:00:00.000Z,Expense,Primary Account,,Entertainment,,31296,IDR,31296,IDR,,,,,Game top-up
2025-02-24T17:00:00.000Z,Expense,Primary Account,,Others,,125014,IDR,125014,IDR,,,,,Misc
2025-02-26T17:00:00.000Z,Expense,Primary Account,,Personal Care,,174408,IDR,174408,IDR,,,,,Skincare
2025-02-26T17:00:00.000Z,Expense,Primary Account,,Entertainment,,186999,IDR,186999,IDR,,,,,Spotify
2025-02-27T17:00:00.000Z,Expense,Primary Account,,Others,,11646,IDR,11646,IDR,,,,,Random purchase
2025-02-27T17:00:00.000Z,Expense,Primary Account,,Food,,139053,IDR,139053,IDR,,,,,Lunch
2025-02-28T17:00:00.000Z,Expense,Primary Account,,Groceries,,161029,IDR,161029,IDR,,,,,Alfamart
2025-02-28T17:00:00.000Z,Expense,Primary Account,,Health,,51752,IDR,51752,IDR,,,,,Checkup
2025-03-01T17:00:00.000Z,Income,Company Payroll,,Primary Account,,7000000,IDR,7000000,IDR,,,,,Monthly Salary
2025-03-01T17:00:00.000Z,Expense,Primary Account,,Health,,126024,IDR,126024,IDR,,,,,Checkup
2025-03-01T17:00:00.000Z,Expense,Primary Account,,Transport,,74517,IDR,74517,IDR,,,,,Busway
2025-03-01T17:00:00.000Z,Expense,Primary Account,,Entertainment,,87081,IDR,87081,IDR,,,,,Netflix
2025-03-01T17:00:00.000Z,Expense,Primary Account,,Others,,152804,IDR,152804,IDR,,,,,Random purchase
2025-03-02T17:00:00.000Z,Expense,Primary Account,,Personal Care,,134437,IDR,134437,IDR,,,,,Skincare
2025-03-03T17:00:00.000Z,Expense,Primary Account,,Entertainment,,166076,IDR,166076,IDR,,,,,Spotify
2025-03-06T17:00:00.000Z,Expense,Primary Account,,Personal Care,,15863,IDR,15863,IDR,,,,,Shampoo
2025-03-07T17:00:00.000Z,Expense,Primary Account,,Bills,,80903,IDR,80903,IDR,,,,,Water
2025-03-08T17:00:00.000Z,Expense,Primary Account,,Personal Care,,58864,IDR,58864,IDR,,,,,Soap
2025-03-10T17:00:00.000Z,Expense,Primary Account,,Transport,,154223,IDR,154223,IDR,,,,,Gojek
2025-03-11T17:00:00.000Z,Expense,Primary Account,,Entertainment,,167777,IDR,167777,IDR,,,,,Game top-up
2025-03-12T17:00:00.000Z,Expense,Primary Account,,Transport,,174261,IDR,174261,IDR,,,,,Gojek
2025-03-12T17:00:00.000Z,Expense,Primary Account,,Groceries,,191101,IDR,191101,IDR,,,,,Alfamart
2025-03-14T17:00:00.000Z,Expense,Primary Account,,Health,,150844,IDR,150844,IDR,,,,,Vitamins
2025-03-14T17:00:00.000Z,Expense,Primary Account,,Bills,,112347,IDR,112347,IDR,,,,,Internet
2025-03-15T17:00:00.000Z,Expense,Primary Account,,Health,,182715,IDR,182715,IDR,,,,,Medicine
2025-03-15T17:00:00.000Z,Expense,Primary Account,,Groceries,,150963,IDR,150963,IDR,,,,,Alfamart
2025-03-16T17:00:00.000Z,Expense,Primary Account,,Entertainment,,124683,IDR,124683,IDR,,,,,Movie
2025-03-16T17:00:00.000Z,Expense,Primary Account,,Bills,,52113,IDR,52113,IDR,,,,,Electricity
2025-03-17T17:00:00.000Z,Expense,Primary Account,,Health,,75070,IDR,75070,IDR,,,,,Checkup
2025-03-17T17:00:00.000Z,Expense,Primary Account,,Food,,32394,IDR,32394,IDR,,,,,Coffee
2025-03-17T17:00:00.000Z,Expense,Primary Account,,Groceries,,63995,IDR,63995,IDR,,,,,Supermarket
2025-03-20T17:00:00.000Z,Expense,Primary Account,,Others,,165262,IDR,165262,IDR,,,,,Random purchase
2025-03-20T17:00:00.000Z,Expense,Primary Account,,Food,,127724,IDR,127724,IDR,,,,,Lunch
2025-03-20T17:00:00.000Z,Expense,Primary Account,,Personal Care,,47118,IDR,47118,IDR,,,,,Skincare
2025-03-21T17:00:00.000Z,Expense,Primary Account,,Groceries,,26077,IDR,26077,IDR,,,,,Alfamart
2025-03-21T17:00:00.000Z,Expense,Primary Account,,Personal Care,,30727,IDR,30727,IDR,,,,,Soap
2025-03-21T17:00:00.000Z,Expense,Primary Account,,Entertainment,,35076,IDR,35076,IDR,,,,,Movie
2025-03-22T17:00:00.000Z,Expense,Primary Account,,Entertainment,,75509,IDR,75509,IDR,,,,,Netflix
2025-03-23T17:00:00.000Z,Expense,Primary Account,,Food,,96899,IDR,96899,IDR,,,,,Jajanan
2025-03-23T17:00:00.000Z,Expense,Primary Account,,Food,,32927,IDR,32927,IDR,,,,,Lunch
2025-03-24T17:00:00.000Z,Expense,Primary Account,,Transport,,46603,IDR,46603,IDR,,,,,Busway
2025-03-24T17:00:00.000Z,Expense,Primary Account,,Food,,21812,IDR,21812,IDR,,,,,Lunch
2025-03-24T17:00:00.000Z,Expense,Primary Account,,Personal Care,,118302,IDR,118302,IDR,,,,,Soap
2025-03-25T17:00:00.000Z,Expense,Primary Account,,Health,,42398,IDR,42398,IDR,,,,,Vitamins
2025-03-25T17:00:00.000Z,Expense,Primary Account,,Transport,,59692,IDR,59692,IDR,,,,,Grab
2025-03-26T17:00:00.000Z,Expense,Primary Account,,Health,,107908,IDR,107908,IDR,,,,,Checkup
2025-03-26T17:00:00.000Z,Expense,Primary Account,,Food,,96664,IDR,96664,IDR,,,,,Coffee
2025-03-28T17:00:00.000Z,Expense,Primary Account,,Entertainment,,47050,IDR,47050,IDR,,,,,Spotify
2025-03-29T17:00:00.000Z,Expense,Primary Account,,Personal Care,,128581,IDR,128581,IDR,,,,,Skincare
2025-03-29T17:00:00.000Z,Expense,Primary Account,,Food,,167818,IDR,167818,IDR,,,,,Lunch
2025-03-29T17:00:00.000Z,Expense,Primary Account,,Health,,150072,IDR,150072,IDR,,,,,Checkup
2025-03-29T17:00:00.000Z,Expense,Primary Account,,Food,,71244,IDR,71244,IDR,,,,,Dinner
2025-03-30T17:00:00.000Z,Expense,Primary Account,,Groceries,,93236,IDR,93236,IDR,,,,,Indomaret
2025-03-31T17:00:00.000Z,Expense,Primary Account,,Food,,52478,IDR,52478,IDR,,,,,Dinner
2025-04-01T17:00:00.000Z,Income,Company Payroll,,Primary Account,,7000000,IDR,7000000,IDR,,,,,Monthly Salary
2025-04-03T17:00:00.000Z,Expense,Primary Account,,Bills,,162193,IDR,162193,IDR,,,,,Internet
2025-04-03T17:00:00.000Z,Expense,Primary Account,,Food,,163447,IDR,163447,IDR,,,,,Coffee
2025-04-06T17:00:00.000Z,Expense,Primary Account,,Bills,,188316,IDR,188316,IDR,,,,,Electricity
2025-04-07T17:00:00.000Z,Expense,Primary Account,,Food,,56018,IDR,56018,IDR,,,,,Lunch
2025-04-07T17:00:00.000Z,Expense,Primary Account,,Health,,14337,IDR,14337,IDR,,,,,Medicine
2025-04-08T17:00:00.000Z,Expense,Primary Account,,Others,,120997,IDR,120997,IDR,,,,,Misc
2025-04-08T17:00:00.000Z,Expense,Primary Account,,Entertainment,,103881,IDR,103881,IDR,,,,,Netflix
2025-04-08T17:00:00.000Z,Expense,Primary Account,,Transport,,131106,IDR,131106,IDR,,,,,Gojek
2025-04-09T17:00:00.000Z,Expense,Primary Account,,Others,,169706,IDR,169706,IDR,,,,,Misc
2025-04-10T17:00:00.000Z,Expense,Primary Account,,Transport,,103070,IDR,103070,IDR,,,,,Busway
2025-04-11T17:00:00.000Z,Expense,Primary Account,,Transport,,119145,IDR,119145,IDR,,,,,Fuel
2025-04-12T17:00:00.000Z,Expense,Primary Account,,Food,,139911,IDR,139911,IDR,,,,,Snack
2025-04-12T17:00:00.000Z,Expense,Primary Account,,Groceries,,153890,IDR,153890,IDR,,,,,Supermarket
2025-04-13T17:00:00.000Z,Expense,Primary Account,,Entertainment,,5945,IDR,5945,IDR,,,,,Movie
2025-04-13T17:00:00.000Z,Expense,Primary Account,,Personal Care,,48909,IDR,48909,IDR,,,,,Skincare
2025-04-13T17:00:00.000Z,Expense,Primary Account,,Others,,124237,IDR,124237,IDR,,,,,Misc
2025-04-13T17:00:00.000Z,Expense,Primary Account,,Transport,,86434,IDR,86434,IDR,,,,,Gojek
2025-04-14T17:00:00.000Z,Expense,Primary Account,,Health,,149497,IDR,149497,IDR,,,,,Vitamins
2025-04-14T17:00:00.000Z,Expense,Primary Account,,Health,,33931,IDR,33931,IDR,,,,,Vitamins
2025-04-14T17:00:00.000Z,Expense,Primary Account,,Personal Care,,105654,IDR,105654,IDR,,,,,Soap
2025-04-15T17:00:00.000Z,Expense,Primary Account,,Transport,,27576,IDR,27576,IDR,,,,,Gojek
2025-04-15T17:00:00.000Z,Expense,Primary Account,,Bills,,30683,IDR,30683,IDR,,,,,Water
2025-04-16T17:00:00.000Z,Expense,Primary Account,,Bills,,175383,IDR,175383,IDR,,,,,Electricity
2025-04-16T17:00:00.000Z,Expense,Primary Account,,Bills,,132026,IDR,132026,IDR,,,,,Internet
2025-04-17T17:00:00.000Z,Expense,Primary Account,,Entertainment,,49914,IDR,49914,IDR,,,,,Movie
2025-04-17T17:00:00.000Z,Expense,Primary Account,,Health,,53073,IDR,53073,IDR,,,,,Medicine
2025-04-17T17:00:00.000Z,Expense,Primary Account,,Transport,,37795,IDR,37795,IDR,,,,,Busway
2025-04-18T17:00:00.000Z,Expense,Primary Account,,Transport,,20229,IDR,20229,IDR,,,,,Gojek
2025-04-18T17:00:00.000Z,Expense,Primary Account,,Health,,151043,IDR,151043,IDR,,,,,Vitamins
2025-04-18T17:00:00.000Z,Expense,Primary Account,,Others,,90230,IDR,90230,IDR,,,,,Misc
2025-04-18T17:00:00.000Z,Expense,Primary Account,,Personal Care,,60106,IDR,60106,IDR,,,,,Skincare
2025-04-18T17:00:00.000Z,Expense,Primary Account,,Personal Care,,74187,IDR,74187,IDR,,,,,Skincare
2025-04-19T17:00:00.000Z,Expense,Primary Account,,Entertainment,,80035,IDR,80035,IDR,,,,,Game top-up
2025-04-19T17:00:00.000Z,Expense,Primary Account,,Health,,134439,IDR,134439,IDR,,,,,Medicine
2025-04-20T17:00:00.000Z,Expense,Primary Account,,Personal Care,,133844,IDR,133844,IDR,,,,,Soap
2025-04-20T17:00:00.000Z,Expense,Primary Account,,Entertainment,,152291,IDR,152291,IDR,,,,,Netflix
2025-04-20T17:00:00.000Z,Expense,Primary Account,,Entertainment,,16096,IDR,16096,IDR,,,,,Spotify
2025-04-20T17:00:00.000Z,Expense,Primary Account,,Personal Care,,177316,IDR,177316,IDR,,,,,Skincare
2025-04-21T17:00:00.000Z,Expense,Primary Account,,Entertainment,,33404,IDR,33404,IDR,,,,,Movie
2025-04-21T17:00:00.000Z,Expense,Primary Account,,Personal Care,,156088,IDR,156088,IDR,,,,,Skincare
2025-04-22T17:00:00.000Z,Expense,Primary Account,,Bills,,118992,IDR,118992,IDR,,,,,Internet
2025-04-22T17:00:00.000Z,Expense,Primary Account,,Transport,,22499,IDR,22499,IDR,,,,,Gojek
2025-04-23T17:00:00.000Z,Expense,Primary Account,,Health,,71017,IDR,71017,IDR,,,,,Checkup
2025-04-24T17:00:00.000Z,Expense,Primary Account,,Groceries,,154444,IDR,154444,IDR,,,,,Supermarket
2025-04-25T17:00:00.000Z,Expense,Primary Account,,Others,,136807,IDR,136807,IDR,,,,,Misc
2025-04-26T17:00:00.000Z,Expense,Primary Account,,Transport,,55679,IDR,55679,IDR,,,,,Gojek
2025-04-27T17:00:00.000Z,Expense,Primary Account,,Transport,,52143,IDR,52143,IDR,,,,,Busway
2025-04-27T17:00:00.000Z,Expense,Primary Account,,Food,,111039,IDR,111039,IDR,,,,,Lunch
2025-04-28T17:00:00.000Z,Expense,Primary Account,,Bills,,134330,IDR,134330,IDR,,,,,Electricity
2025-04-29T17:00:00.000Z,Expense,Primary Account,,Bills,,96315,IDR,96315,IDR,,,,,Water
2025-04-29T17:00:00.000Z,Expense,Primary Account,,Personal Care,,80314,IDR,80314,IDR,,,,,Skincare
